model,pct,best_val_acc,total_training_time,train_pass_time,val_pass_time,data_fetch_time,dataset_setup_time,avg_epoch_time
resnet50,5,57.09491850431448,187.73940682411194,33.349491596221924,154.3884837627411,30.307102918624878,0.03891468048095703,9.386970341205597
resnet50,20,74.25695110258869,243.91459202766418,94.0651752948761,149.84814977645874,36.623812198638916,0.039099931716918945,12.19572960138321
resnet50,100,86.0019175455417,618.1965806484222,450.3953776359558,167.7997851371765,78.75223994255066,0.03918862342834473,20.60655268828074
inception_v3,5,34.18024928377779,155.74722981452942,26.861889123916626,128.8845682144165,20.137266397476196,0.024326562881469727,7.787361490726471
inception_v3,20,69.99041227229147,216.20241713523865,84.2690749168396,131.9324929714203,33.3695342540741,0.02312612533569336,10.810120856761932
inception_v3,100,86.81687440076702,786.995519399643,591.741391658783,195.25286293029785,169.21104097366333,0.022287368774414062,26.233183979988098
densenet121,5,65.34036433365293,139.00397729873657,22.522689819335938,116.48059821128845,15.59739375114441,0.02308821678161621,6.950198864936828
densenet121,20,80.63279002876318,179.113667011261,63.084492921829224,116.02846097946167,14.969324350357056,0.022371768951416016,8.95568335056305
densenet121,100,90.12464046021093,613.7430555820465,436.13557291030884,177.60654497146606,33.940858602523804,0.02115774154663086,20.458101852734885
