model,depth,layer_name,best_val_acc,feature_dim,mean_norm,extraction_time,total_train_time,avg_epoch_time,scenario_time_s
resnet50,early,layer1,83.3652913570404,256,18.584251403808594,25.976205825805664,1.4333219528198242,0.02865610122680664,36.893511056900024
resnet50,mid,layer2,90.65196514129639,512,49.33014678955078,25.505679845809937,1.0631535053253174,0.021252460479736328,34.62154507637024
resnet50,final,layer3,95.1102614402771,1024,45.10411071777344,25.971089363098145,1.2799255847930908,0.025586991310119628,35.65595746040344
inception_v3,early,Mixed_5c,87.29625940322876,288,14.674080848693848,31.3274667263031,1.1539301872253418,0.023069114685058595,42.800213098526
inception_v3,mid,Mixed_6e,92.47363209724426,768,3.6526975631713867,31.395025730133057,1.2622530460357666,0.025235328674316406,43.66489315032959
inception_v3,final,Mixed_7c,88.49472999572754,2048,22.753284454345703,56.22881031036377,1.1653358936309814,0.023295769691467284,70.84536910057068
densenet121,early,features.denseblock1,79.57814335823059,256,94.08138275146484,48.29642128944397,2.556408166885376,0.05111783504486084,69.48242449760437
densenet121,mid,features.denseblock2,87.24832534790039,512,28.77154541015625,28.132617712020874,1.4357950687408447,0.028705945014953615,39.2835156917572
densenet121,final,features.denseblock4,93.14477443695068,1024,28.364601135253906,28.519485235214233,1.5691218376159668,0.031371865272521976,38.86059904098511
