model,depth,layer_name,best_val_acc,feature_dim,mean_norm,scenario_time_s
resnet50,early,layer1,83.3652913570404,256,18.584251403808594,36.893511056900024
resnet50,mid,layer2,90.65196514129639,512,49.33014678955078,34.62154507637024
resnet50,final,layer3,95.1102614402771,1024,45.10411071777344,35.65595746040344
inception_v3,early,Mixed_5c,87.29625940322876,288,14.674080848693848,42.800213098526
inception_v3,mid,Mixed_6e,92.47363209724426,768,3.6526975631713867,43.66489315032959
inception_v3,final,Mixed_7c,88.49472999572754,2048,22.753284454345703,70.84536910057068
densenet121,early,features.denseblock1,79.57814335823059,256,94.08138275146484,69.48242449760437
densenet121,mid,features.denseblock2,87.24832534790039,512,28.77154541015625,39.2835156917572
densenet121,final,features.denseblock4,93.14477443695068,1024,28.364601135253906,38.86059904098511
