model,strategy,best_val_acc,trainable_pct,train_time_s
resnet50,linear_probe,85.81016299137104,0.2608031344913439,566.1312596797943
resnet50,last_block,93.52828379674017,63.75275133093605,666.934900522232
resnet50,full,95.25407478427613,100.0,1504.7737035751343
resnet50,selective_20pct,92.42569511025887,19.211937528421263,595.5735146999359
inception_v3,linear_probe,87.63183125599232,0.2813653731915512,728.9948470592499
inception_v3,last_block,95.06232023010547,58.96077079190323,988.7056636810303
inception_v3,full,95.54170661553212,100.0,1726.8727433681488
inception_v3,selective_20pct,93.57622243528284,19.46580584516766,1182.8605632781982
densenet121,linear_probe,90.12464046021093,0.4402538954953222,599.8593554496765
densenet121,last_block,93.00095877277086,31.36723818065042,688.292328119278
densenet121,full,96.06903163950143,100.0,1415.373550415039
densenet121,selective_20pct,94.77468839884948,20.257091094329443,897.2946093082428
